Timestamp,Open,High,Low,Close,Volume,Datetime,Time_Difference,Tuition,Bitcoins_Purchased,Total_Bitcoins
1412071200.0,377.58,377.59,376.4,376.85,3.10734462,2014-09-30 10:00:00+00:00,0 days,319.0,0.8475026567481403,0.8475026567481403
1427709600.0,244.84,244.84,244.84,244.84,0.0,2015-03-30 10:00:00+00:00,0 days,322.0,1.315144584218265,2.1626472409664053
1443607200.0,237.49,237.49,237.48,237.48,1.72812253,2015-09-30 10:00:00+00:00,0 days,322.0,1.3559036550446355,3.5185508960110408
1459332000.0,414.25,414.25,414.25,414.25,0.0,2016-03-30 10:00:00+00:00,0 days,322.0,0.7773083886541944,4.2958592846652355
1475229600.0,604.25,604.25,604.25,604.25,0.0175385,2016-09-30 10:00:00+00:00,0 days,322.0,0.5328920148944973,4.828751299559733
1490868000.0,1037.32,1037.32,1035.76,1035.76,23.31796016,2017-03-30 10:00:00+00:00,0 days,325.0,0.31377925388120803,5.142530553440941
1506765600.0,4224.95,4224.95,4224.95,4224.95,0.30229013,2017-09-30 10:00:00+00:00,0 days,325.0,0.0769239872661215,5.219454540707062
1522404000.0,7111.37,7118.0,7069.13,7069.13,56.03587478,2018-03-30 10:00:00+00:00,0 days,325.0,0.04597454000704471,5.265429080714107
1538301600.0,6550.8,6550.8,6550.8,6550.8,0.0,2018-09-30 10:00:00+00:00,0 days,325.0,0.04961226109788117,5.3150413418119875
1553940000.0,4092.53,4092.53,4089.54,4089.54,5.79179735,2019-03-30 10:00:00+00:00,0 days,328.0,0.08020461959046739,5.395245961402455
1569837600.0,7798.78,7803.28,7791.88,7791.88,0.53657841,2019-09-30 10:00:00+00:00,0 days,328.0,0.04209510413404724,5.4373410655365015
1585562400.0,6215.41,6236.45,6215.41,6230.6,9.48464254,2020-03-30 10:00:00+00:00,0 days,328.0,0.052772061698262866,5.490113127234764
1601460000.0,10696.38,10696.38,10675.01,10689.29,33.5609872,2020-09-30 10:00:00+00:00,0 days,328.0,0.03072596653305243,5.520839093767816
1617098400.0,57633.57,57633.57,57603.35,57603.35,0.4265333,2021-03-30 10:00:00+00:00,0 days,332.0,0.005763553682207719,5.526602647450024
1632996000.0,43530.73,43530.73,43530.73,43530.73,0.00623971,2021-09-30 10:00:00+00:00,0 days,335.0,0.007695712890640703,5.534298360340665
1648634400.0,47510.26,47510.26,47483.82,47489.69,0.03112438,2022-03-30 10:00:00+00:00,0 days,335.0,0.007055034746572622,5.541353395087238
1664532000.0,19453.0,19475.0,19453.0,19475.0,0.03578,2022-09-30 10:00:00+00:00,0 days,337.5,0.017349509073150672,5.558702904160389
1680170400.0,28619.0,28619.0,28606.0,28606.0,0.0419728,2023-03-30 10:00:00+00:00,0 days,339.9,0.011882122631615744,5.5705850267920045
1696068000.0,26934.0,26934.0,26934.0,26934.0,0.00374053,2023-09-30 10:00:00+00:00,0 days,340.0,0.012623449914606073,5.583208476706611
1711792800.0,70059.0,70059.0,70059.0,70059.0,0.00033946,2024-03-30 10:00:00+00:00,0 days,332.0,0.004738862958363665,5.587947339664975
1727690400.0,63560.0,63561.0,63508.0,63510.0,13.97233279,2024-09-30 10:00:00+00:00,0 days,335.0,0.005274925993575612,5.593222265658551
